FIR_NO,DISTRICT,POLICE_STATION,CRIME_HEAD,OCCURRENCE_FROM,OCCURRENCE_TO,REGISTRATION_DATE,NO_OF_ACCUSED,WEAPONS_TOOLS,CONCEALMENT,TARGET_TYPE,PROPERTY_STOLEN,MODE_OF_ARRIVAL,MODE_OF_ESCAPE,PLACE_OF_ENTRY,MODE_OF_ENTRY,PREMISES_TYPE,PREMISES_STATUS,SEARCH_TYPE,VEHICLE_TYPE,VEHICLE_START_METHOD,PARKING_PLACE,OFFENDER_VEHICLE,VICTIM_ACTIVITY,ESCAPE_ROUTE,ATM_SITE_TYPE,ATM_ATTACK,ALARM_STATUS,FIR_CONTENTS
MH-NAS-04/0070/2025,Nashik,MH-NAS-04,CHAIN SNATCHING,01/11/2025 04:29,01/11/2025 04:33,02/11/2025 21:23,2 TO 3,NIL,NIL,CHANCE,GOLD ORNAMENTS,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,SHOPPING,HIGHWAY,,,,"As per the complaint, unknown persons committed chain snatching in Nashik (MH-NAS-04) sometime between 01/11/2025 04:29 and 01/11/2025 04:33. It is stated that the accused escaped towards the highway, left no sign of tools, struck early in the morning, came on a two-wheeler, took gold ornaments, were two or three persons, made no attempt to avoid identification, rode a motorcycle and targeted a victim who was shopping. The beat constable had passed the area about an hour earlier. Fingerprint experts visited the scene."
MH-KOL-04/0067/2025,Kolhapur,MH-KOL-04,CHAIN SNATCHING,01/11/2025 20:21,01/11/2025 20:26,02/11/2025 21:54,2 TO 3,NIL,NIL,RECCE DONE,,TWO WHEELER,ON FOOT,,,,,,,,,MOTOR CYCLE,PILLION RIDER,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-KOL-04 police station limits, Kolhapur, between 01/11/2025 20:21 and 01/11/2025 20:26. It is stated that the accused targeted a victim riding pillion, left no sign of tools, fled on foot, rode a motorcycle, came on a two-wheeler, were two or three persons, struck during the day, escaped along the main road and made no attempt to avoid identification. The complainant has submitted bills for some of the items. The total value of the stolen property is estimated at Rs. 54,521."
MH-NAG-04/0065/2025,Nagpur,MH-NAG-04,SHOP BREAKING,01/11/2025 22:09,02/11/2025 05:34,03/11/2025 00:27,2 TO 3,NIL,NIL,RECCE DONE,,TWO WHEELER,TWO WHEELER,SHUTTER,DUPLICATE KEY,SHOP,,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Nagpur (MH-NAG-04) sometime between 01/11/2025 22:09 and 02/11/2025 05:34. It is stated that the accused came on a two-wheeler, targeted a shop, ransacked the place, fled on a two-wheeler, struck while the premises were closed for the night, were two or three persons and left no sign of tools. The dog squad was summoned to the spot."
MH-PUN-04/0069/2025,Pune,MH-PUN-04,MOTOR VEHICLE THEFT,30/10/2025 10:29,30/10/2025 18:37,03/11/2025 01:51,2 TO 3,NIL,NIL,RECCE DONE,DOCUMENTS;VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,,ROADSIDE,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-04) sometime between 30/10/2025 10:29 and 30/10/2025 18:37. It is stated that the accused made no attempt to avoid identification, took documents, took a vehicle, left no sign of tools, took it from the roadside, were two or three persons, fled on a two-wheeler and struck during the day. A relative of the complainant was the first to notice. The complainant has submitted bills for some of the items."
MH-THA-03/0068/2025,Thane,MH-THA-03,CHAIN SNATCHING,31/10/2025,31/10/2025,03/11/2025 04:46,ONE,NIL,NIL,CHANCE,GOLD ORNAMENTS;CASH,TWO WHEELER,TWO WHEELER,,,,,,,,,MOTOR CYCLE,SHOPPING,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Thane between 31/10/2025 and 31/10/2025. It is stated that the accused left no sign of tools, appear to have picked the target by chance, fled on a two-wheeler, made no attempt to avoid identification, rode a motorcycle, took gold ornaments, took cash, targeted a victim who was shopping and came on a two-wheeler. Street lights in the area were reported not working. A relative of the complainant was the first to notice."
MH-NAS-01/0075/2025,Nashik,MH-NAS-01,MOTOR VEHICLE THEFT,02/11/2025 09:06,02/11/2025 17:55,03/11/2025 13:22,ONE,NIL,FACE MASKED,,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,SOCIETY PARKING,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-01 police station limits, Nashik, between 02/11/2025 09:06 and 02/11/2025 17:55. It is stated that the accused took a vehicle, took it from residential parking, broke the handle lock, fled on a two-wheeler, had their faces covered, left no sign of tools, stole a motorcycle and acted alone. The dog squad was summoned to the spot. The complainant noticed the incident on returning and informed the police."
MH-NAS-05/0066/2025,Nashik,MH-NAS-05,MOTOR VEHICLE THEFT,02/11/2025 19:24,03/11/2025 00:26,03/11/2025 14:05,ONE,CROWBAR;SCREW DRIVER,NIL,,VEHICLE,TWO WHEELER,FOUR WHEELER,,,,,,CAR,DUPLICATE KEY,SOCIETY PARKING,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 02/11/2025 19:24 and 03/11/2025 00:26. It is stated that the accused took it from residential parking, stole a car, started it with a duplicate key, struck during the day and made no attempt to avoid identification. The complainant has submitted bills for some of the items. A spot panchnama was drawn up in the presence of witnesses."
MH-THA-06/0068/2025,Thane,MH-THA-06,HOUSE BREAKING,02/11/2025 00:47,02/11/2025 06:10,03/11/2025 14:46,ONE,CROWBAR,NIL,RECCE DONE,GOLD ORNAMENTS;ELECTRONIC ITEMS;DOCUMENTS,TWO WHEELER,TWO WHEELER,MAIN DOOR,LOCK BROKEN,BUNGALOW,OCCUPIED,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Thane (MH-THA-06) sometime between 02/11/2025 00:47 and 02/11/2025 06:10. It is stated that the accused struck at night, made no attempt to avoid identification, got in through the door, fled on a two-wheeler, appear to have watched the place beforehand, struck while the occupants were inside, used a crowbar, targeted an independent house, came on a two-wheeler, ransacked the place, acted alone, took gold ornaments, took electronic items, took documents and broke the lock. Enquiries with nearby residents are in progress. The complainant noticed the incident on returning and informed the police."
MH-NAS-08/0076/2025,Nashik,MH-NAS-08,MOTOR VEHICLE THEFT,02/11/2025 10:41,02/11/2025 20:23,03/11/2025 18:01,,NIL,NIL,RECCE DONE,DOCUMENTS;VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,DUPLICATE KEY,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAS-08 police station limits, Nashik, between 02/11/2025 10:41 and 02/11/2025 20:23. It is stated that the accused struck during the day, started it with a duplicate key, appear to have watched the place beforehand, fled on a two-wheeler, stole a scooter, took it from a public parking lot and came on a two-wheeler. It had been raining heavily that evening. The beat constable had passed the area about an hour earlier."
MH-NAG-04/0066/2025,Nagpur,MH-NAG-04,MOTOR VEHICLE THEFT,01/11/2025 00:14,01/11/2025 03:37,03/11/2025 18:03,ONE,NIL,NIL,,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-04 police station limits, Nagpur, between 01/11/2025 00:14 and 01/11/2025 03:37. It is stated that the accused struck at night, took it from the roadside, came on foot, stole a motorcycle, made no attempt to avoid identification, fled on a two-wheeler, took a vehicle, acted alone, broke the handle lock and left no sign of tools. Enquiries with nearby residents are in progress. Nearby shops were closed at the time."
MH-NAG-02/0069/2025,Nagpur,MH-NAG-02,CHAIN SNATCHING,01/11/2025 23:45,01/11/2025 23:49,03/11/2025 20:30,ONE,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,TWO WHEELER,,,,,,,,,,MOTOR CYCLE,PILLION RIDER,MAIN ROAD,,,,"On receipt of information, it was learnt that a chain snatching occurred in Nagpur between 01/11/2025 23:45 and 01/11/2025 23:49. It is stated that the accused targeted a victim riding pillion, had their faces covered, took gold ornaments, came on a two-wheeler, escaped along the main road, rode a motorcycle, appear to have picked the target by chance and left no sign of tools. Fingerprint experts visited the scene. The dog squad was summoned to the spot."
MH-NAS-08/0077/2025,Nashik,MH-NAS-08,HOUSE BREAKING,01/11/2025 01:17,01/11/2025 03:39,03/11/2025 21:24,ONE,NIL,NIL,RECCE DONE,GOLD ORNAMENTS;DOCUMENTS,ON FOOT,ON FOOT,WINDOW,LOCK BROKEN,BUNGALOW,OCCUPIED,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Nashik between 01/11/2025 01:17 and 01/11/2025 03:39. It is stated that the accused appear to have watched the place beforehand, struck at night, got in through a window, acted alone, ransacked the place, made no attempt to avoid identification, struck while the occupants were inside and targeted an independent house. Nearby shops were closed at the time. The beat constable had passed the area about an hour earlier."
MH-PUN-08/0061/2025,Pune,MH-PUN-08,MOTOR VEHICLE THEFT,31/10/2025 21:17,01/11/2025 10:36,03/11/2025 22:44,,CROWBAR,NIL,CHANCE,,TWO WHEELER,FOUR WHEELER,,,,,,GOODS VEHICLE,KEY IN VEHICLE,RLY STN / BUS STAND,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Pune between 31/10/2025 21:17 and 01/11/2025 10:36. It is stated that the accused took it from station parking, used a crowbar, fled in a four-wheeler, stole a goods vehicle and came on a two-wheeler. The complainant has submitted bills for some of the items. Fingerprint experts visited the scene."
MH-NAG-02/0070/2025,Nagpur,MH-NAG-02,MOTOR VEHICLE THEFT,02/11/2025 20:53,03/11/2025 10:49,04/11/2025 02:42,ONE,NIL,FACE MASKED,CHANCE,VEHICLE,ON FOOT,ON FOOT,,,,,,MOTOR CYCLE,TOWED AWAY,MARKET AREA,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nagpur between 02/11/2025 20:53 and 03/11/2025 10:49. It is stated that the accused lifted or towed it away, stole a motorcycle, appear to have picked the target by chance, acted alone, took a vehicle, took it from a market area and left no sign of tools. The complainant does not suspect anyone. The beat constable had passed the area about an hour earlier."
MH-NAG-04/0067/2025,Nagpur,MH-NAG-04,ATM TAMPERING,02/11/2025 13:45,03/11/2025 00:42,04/11/2025 03:07,ONE,CUTTER,HAND GLOVES,RECCE DONE,NIL,,FOUR WHEELER,,,,,,,,,,,,BRANCH ATM,SKIMMER FITTED,ALARM INTACT,"On receipt of information, it was learnt that a ATM tampering occurred in Nagpur between 02/11/2025 13:45 and 03/11/2025 00:42. It is stated that the accused fitted a skimming device, acted alone, fled in a four-wheeler, used a cutter, took nothing, appear to have watched the place beforehand, wore gloves, left the alarm untouched and struck during the day. Fingerprint experts visited the scene. A relative of the complainant was the first to notice."
MH-PUN-01/0077/2025,Pune,MH-PUN-01,MOTOR VEHICLE THEFT,29/10/2025 01:43,29/10/2025 04:37,04/11/2025 03:45,ONE,,,,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"Complainant reports that a vehicle theft took place within MH-PUN-01 police station limits, Pune, between 29/10/2025 01:43 and 29/10/2025 04:37. It is stated that the accused acted alone, took it from the roadside, fled in a four-wheeler, struck at night, broke the handle lock, came on foot and took a vehicle. A relative of the complainant was the first to notice. The complainant has submitted bills for some of the items."
MH-NAG-01/0055/2025,Nagpur,MH-NAG-01,MOTOR VEHICLE THEFT,03/11/2025,04/11/2025,04/11/2025 07:17,ONE,NIL,NIL,RECCE DONE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,ROADSIDE,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nagpur (MH-NAG-01) sometime between 03/11/2025 and 04/11/2025. It is stated that the accused took it from the roadside, took a vehicle, came on a two-wheeler, made no attempt to avoid identification, left no sign of tools, struck at night, started it by joining the wires and fled on a two-wheeler. Street lights in the area were reported not working. The complainant has submitted bills for some of the items."
MH-PUN-01/0078/2025,Pune,MH-PUN-01,HOUSE BREAKING,02/11/2025 08:15,04/11/2025 00:29,04/11/2025 07:33,ONE,NIL,FACE MASKED,,,TWO WHEELER,TWO WHEELER,MAIN DOOR,LOCK BROKEN,BUNGALOW,LOCKED - OWNER OUT,,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Pune (MH-PUN-01) sometime between 02/11/2025 08:15 and 04/11/2025 00:29. It is stated that the accused left no sign of tools, acted alone, took nothing, had their faces covered, came on a two-wheeler and got in through the door. It had been raining heavily that evening. A spot panchnama was drawn up in the presence of witnesses."
MH-NAG-04/0068/2025,Nagpur,MH-NAG-04,HOUSE BREAKING,02/11/2025 18:48,02/11/2025 22:26,04/11/2025 07:37,ONE,NIL,NIL,,GOLD ORNAMENTS;ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,MAIN DOOR,GRILL CUT,FLAT,LOCKED - OWNER OUT,RANSACKED,,,,,,,,,,"Complainant reports that a house burglary took place within MH-NAG-04 police station limits, Nagpur, between 02/11/2025 18:48 and 02/11/2025 22:26. It is stated that the accused got in through the door, targeted an apartment, ransacked the place, made no attempt to avoid identification, came on a two-wheeler, took gold ornaments, took electronic items, fled on a two-wheeler, acted alone, struck while the occupants were out and struck during the day. The dog squad was summoned to the spot. It had been raining heavily that evening."
MH-NAS-01/0076/2025,Nashik,MH-NAS-01,MOTOR VEHICLE THEFT,29/10/2025 22:41,30/10/2025 06:09,04/11/2025 07:52,2 TO 3,NIL,HAND GLOVES,RECCE DONE,VEHICLE,FOUR WHEELER,TWO WHEELER,,,,,,SCOOTER,KEY IN VEHICLE,ROADSIDE,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nashik (MH-NAS-01) sometime between 29/10/2025 22:41 and 30/10/2025 06:09. It is stated that the accused stole a scooter, wore gloves, fled on a two-wheeler, came in a four-wheeler, found the key left in the vehicle, took it from the roadside, left no sign of tools, were two or three persons and appear to have watched the place beforehand. The complainant does not suspect anyone. Neighbours stated they did not hear anything unusual."
MH-NAG-06/0051/2025,Nagpur,MH-NAG-06,ATM TAMPERING,02/11/2025 14:53,03/11/2025 06:55,04/11/2025 08:04,2 TO 3,CROWBAR,FACE MASKED,,CASH,ON FOOT,TWO WHEELER,,,,,,,,,,,,OFFSITE ATM,SKIMMER FITTED,,"Complainant reports that a ATM tampering took place within MH-NAG-06 police station limits, Nagpur, between 02/11/2025 14:53 and 03/11/2025 06:55. It is stated that the accused were two or three persons, appear to have watched the place beforehand, used a crowbar, had their faces covered, left the alarm untouched, targeted an offsite ATM kiosk and fitted a skimming device. A relative of the complainant was the first to notice."
MH-NAG-02/0071/2025,Nagpur,MH-NAG-02,MOTOR VEHICLE THEFT,03/11/2025 18:11,04/11/2025 04:52,04/11/2025 09:45,,NIL,NIL,,DOCUMENTS;VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,DUPLICATE KEY,RLY STN / BUS STAND,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Nagpur (MH-NAG-02) sometime between 03/11/2025 18:11 and 04/11/2025 04:52. It is stated that the accused took documents, took a vehicle, started it with a duplicate key, fled in a four-wheeler, stole a car, left no sign of tools, came on foot and took it from station parking. The beat constable had passed the area about an hour earlier. The complainant has submitted bills for some of the items."
MH-PUN-04/0070/2025,Pune,MH-PUN-04,HOUSE BREAKING,04/11/2025 02:00,04/11/2025 04:47,04/11/2025 15:26,4 AND ABOVE,CROWBAR;SCREW DRIVER,NIL,RECCE DONE,CASH,TWO WHEELER,TWO WHEELER,,LOCK BROKEN,ROW HOUSE,OCCUPIED,,,,,,,,,,,"Complainant reports that a house burglary took place within MH-PUN-04 police station limits, Pune, between 04/11/2025 02:00 and 04/11/2025 04:47. It is stated that the accused struck while the occupants were inside, targeted a row house, were a group of four or more, made no attempt to avoid identification, came on a two-wheeler, broke the lock, took cash, used a crowbar, used a screwdriver, struck at night, ransacked the place, fled on a two-wheeler and appear to have watched the place beforehand. The complainant has submitted bills for some of the items. Enquiries with nearby residents are in progress."
MH-THA-07/0066/2025,Thane,MH-THA-07,SHOP BREAKING,02/11/2025 11:47,04/11/2025 08:29,04/11/2025 20:09,2 TO 3,CROWBAR,NIL,RECCE DONE,ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,SHUTTER,LOCK BROKEN,GODOWN,CLOSED - HOLIDAY,SELECTIVE,,,,,,,,,,"Complainant reports that a break-in at commercial premises took place within MH-THA-07 police station limits, Thane, between 02/11/2025 11:47 and 04/11/2025 08:29. It is stated that the accused took only selected valuables, targeted a godown, appear to have watched the place beforehand, broke the lock, fled on a two-wheeler, struck while the premises were closed for a holiday, used a crowbar, made no attempt to avoid identification, got in by lifting the shutter, were two or three persons, came on a two-wheeler and took electronic items. The dog squad was summoned to the spot. Neighbours stated they did not hear anything unusual."
MH-PUN-08/0062/2025,Pune,MH-PUN-08,HOUSE BREAKING,29/07/2025 23:01,04/11/2025 14:39,04/11/2025 20:50,2 TO 3,NIL,,INSIDE INFORMATION,GOLD ORNAMENTS;CASH,ON FOOT,,BALCONY,LOCK BROKEN,FLAT,LOCKED - OUT OF STATION,,,,,,,,,,,"On receipt of information, it was learnt that a house burglary occurred in Pune between 29/07/2025 23:01 and 04/11/2025 14:39. It is stated that the accused struck while the house was locked for days, came on foot, climbed in via the balcony, left no sign of tools, made no attempt to avoid identification, were two or three persons, targeted an apartment, appear to have had inside information, broke the lock, took gold ornaments and took cash. The complainant has submitted bills for some of the items. It had been raining heavily that evening."
MH-THA-06/0069/2025,Thane,MH-THA-06,HOUSE BREAKING,02/11/2025 20:56,03/11/2025 05:08,05/11/2025 02:59,2 TO 3,,NIL,CHANCE,ELECTRONIC ITEMS,TWO WHEELER,TWO WHEELER,WINDOW,LOCK BROKEN,FLAT,LOCKED - OWNER OUT,DIRECT TO VALUABLES,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Thane (MH-THA-06) sometime between 02/11/2025 20:56 and 03/11/2025 05:08. It is stated that the accused appear to have picked the target by chance, made no attempt to avoid identification, left no sign of tools, came on a two-wheeler, struck while the occupants were out, took electronic items, struck at night, went straight to where the valuables were kept, fled on a two-wheeler and got in through a window. A relative of the complainant was the first to notice. Nearby shops were closed at the time."
MH-NAS-02/0065/2025,Nashik,MH-NAS-02,MOTOR VEHICLE THEFT,04/11/2025 18:50,04/11/2025 22:35,05/11/2025 11:15,,NIL,NIL,CHANCE,DOCUMENTS;VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,DIRECT CONNECTION,MARKET AREA,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 04/11/2025 18:50 and 04/11/2025 22:35. It is stated that the accused made no attempt to avoid identification, started it by joining the wires, appear to have picked the target by chance, fled on a two-wheeler, stole a motorcycle, left no sign of tools, took it from a market area and came on foot. A spot panchnama was drawn up in the presence of witnesses. A relative of the complainant was the first to notice."
MH-KOL-02/0069/2025,Kolhapur,MH-KOL-02,ATM TAMPERING,02/11/2025 10:18,04/11/2025 01:05,05/11/2025 17:48,2 TO 3,GAS CUTTER,FACE MASKED,RECCE DONE,CASH,FOUR WHEELER,FOUR WHEELER,,,,,,,,,,,,OFFSITE ATM,FORCIBLY OPENED,ALARM INTACT,"Complainant reports that a ATM tampering took place within MH-KOL-02 police station limits, Kolhapur, between 02/11/2025 10:18 and 04/11/2025 01:05. It is stated that the accused forced the machine open, had their faces covered, used a gas cutter, came in a four-wheeler, were two or three persons, left the alarm untouched, targeted an offsite ATM kiosk, took cash, appear to have watched the place beforehand and fled in a four-wheeler. Neighbours stated they did not hear anything unusual. Street lights in the area were reported not working."
MH-NAS-06/0072/2025,Nashik,MH-NAS-06,CHAIN SNATCHING,04/11/2025 06:55,04/11/2025 06:59,06/11/2025 04:01,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS,ON FOOT,TWO WHEELER,,,,,,,,,SCOOTER,WAITING AT BUS STOP,MAIN ROAD,,,,"Complainant reports that a chain snatching took place within MH-NAS-06 police station limits, Nashik, between 04/11/2025 06:55 and 04/11/2025 06:59. It is stated that the accused appear to have picked the target by chance, took gold ornaments, had their faces covered, targeted a victim waiting for transport, came on foot, were two or three persons, struck early in the morning and escaped along the main road. Street lights in the area were reported not working. The complainant has submitted bills for some of the items."
MH-PUN-03/0070/2025,Pune,MH-PUN-03,SHOP BREAKING,04/11/2025 22:48,05/11/2025 09:15,06/11/2025 05:57,2 TO 3,CUTTER,HAND GLOVES,RECCE DONE,CASH;DOCUMENTS,FOUR WHEELER,FOUR WHEELER,SHUTTER,LOCK BROKEN,,CLOSED FOR NIGHT,RANSACKED,,,,,,,,,,"On receipt of information, it was learnt that a break-in at commercial premises occurred in Pune between 04/11/2025 22:48 and 05/11/2025 09:15. It is stated that the accused used a cutter, struck early in the morning, ransacked the place, broke the lock, got in by lifting the shutter, took cash, took documents, struck while the premises were closed for the night, fled in a four-wheeler, came in a four-wheeler, wore gloves and appear to have watched the place beforehand. The complainant has submitted bills for some of the items. The dog squad was summoned to the spot."
MH-PUN-04/0071/2025,Pune,MH-PUN-04,MOTOR VEHICLE THEFT,05/11/2025 07:45,05/11/2025 10:59,06/11/2025 11:59,4 AND ABOVE,NIL,NIL,,,TWO WHEELER,FOUR WHEELER,,,,,,,DIRECT CONNECTION,,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Pune (MH-PUN-04) sometime between 05/11/2025 07:45 and 05/11/2025 10:59. It is stated that the accused fled in a four-wheeler, struck during the day, took a vehicle, left no sign of tools, made no attempt to avoid identification, started it by joining the wires and were a group of four or more. The beat constable had passed the area about an hour earlier. It had been raining heavily that evening."
MH-NAG-06/0052/2025,Nagpur,MH-NAG-06,MOTOR VEHICLE THEFT,05/11/2025 21:58,06/11/2025 13:22,06/11/2025 16:35,2 TO 3,NIL,NIL,CHANCE,VEHICLE,ON FOOT,TWO WHEELER,,,,,,MOTOR CYCLE,DUPLICATE KEY,PAY AND PARK,,,,,,,"Complainant reports that a vehicle theft took place within MH-NAG-06 police station limits, Nagpur, between 05/11/2025 21:58 and 06/11/2025 13:22. It is stated that the accused left no sign of tools, made no attempt to avoid identification, started it with a duplicate key, took a vehicle, fled on a two-wheeler, appear to have picked the target by chance, took it from a public parking lot and came on foot. Enquiries with nearby residents are in progress. The complainant does not suspect anyone."
MH-NAG-07/0074/2025,Nagpur,MH-NAG-07,CHAIN SNATCHING,05/11/2025 17:18,05/11/2025 17:25,06/11/2025 20:00,4 AND ABOVE,NIL,NIL,CHANCE,GOLD ORNAMENTS,,TWO WHEELER,,,,,,,,,SCOOTER,WALKING,BY LANES,,,,"Complainant reports that a chain snatching took place within MH-NAG-07 police station limits, Nagpur, between 05/11/2025 17:18 and 05/11/2025 17:25. It is stated that the accused left no sign of tools, made no attempt to avoid identification, struck during the day, escaped through the lanes, rode a scooter, were a group of four or more, targeted a victim who was walking, took gold ornaments, appear to have picked the target by chance and fled on a two-wheeler. Neighbours stated they did not hear anything unusual."
MH-THA-01/0062/2025,Thane,MH-THA-01,CHAIN SNATCHING,05/11/2025 04:45,05/11/2025 04:50,07/11/2025 03:12,2 TO 3,NIL,FACE MASKED,CHANCE,GOLD ORNAMENTS;ELECTRONIC ITEMS,TWO WHEELER,,,,,,,,,,MOTOR CYCLE,PILLION RIDER,MAIN ROAD,,,,"As per the complaint, unknown persons committed chain snatching in Thane (MH-THA-01) sometime between 05/11/2025 04:45 and 05/11/2025 04:50. It is stated that the accused struck early in the morning, came on a two-wheeler, were two or three persons, left no sign of tools, had their faces covered, targeted a victim riding pillion and appear to have picked the target by chance. The beat constable had passed the area about an hour earlier. The complainant does not suspect anyone."
MH-NAG-07/0075/2025,Nagpur,MH-NAG-07,HOUSE BREAKING,04/11/2025,04/11/2025,07/11/2025 03:15,2 TO 3,NIL,NIL,CHANCE,CASH,TWO WHEELER,TWO WHEELER,MAIN DOOR,LOCK BROKEN,BUNGALOW,LOCKED - OWNER OUT,DIRECT TO VALUABLES,,,,,,,,,,"Complainant reports that a house burglary took place within MH-NAG-07 police station limits, Nagpur, between 04/11/2025 and 04/11/2025. It is stated that the accused targeted an independent house, took cash, went straight to where the valuables were kept, fled on a two-wheeler, left no sign of tools, struck while the occupants were out, got in through the door and were two or three persons. The total value of the stolen property is estimated at Rs. 340,922. Street lights in the area were reported not working."
MH-THA-02/0058/2025,Thane,MH-THA-02,MOTOR VEHICLE THEFT,03/11/2025 21:36,04/11/2025 09:17,07/11/2025 05:41,4 AND ABOVE,NIL,NIL,CHANCE,VEHICLE,ON FOOT,FOUR WHEELER,,,,,,CAR,HANDLE LOCK BROKEN,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Thane between 03/11/2025 21:36 and 04/11/2025 09:17. It is stated that the accused fled in a four-wheeler, made no attempt to avoid identification, left no sign of tools, came on foot, broke the handle lock, struck at night, were a group of four or more and appear to have picked the target by chance. Street lights in the area were reported not working."
MH-NAS-01/0077/2025,Nashik,MH-NAS-01,HOUSE BREAKING,06/11/2025 22:46,07/11/2025 01:28,07/11/2025 07:18,2 TO 3,SCREW DRIVER,NIL,RECCE DONE,GOLD ORNAMENTS,ON FOOT,ON FOOT,,LOCK BROKEN,,LOCKED - OUT OF STATION,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed house burglary in Nashik (MH-NAS-01) sometime between 06/11/2025 22:46 and 07/11/2025 01:28. It is stated that the accused used a screwdriver, fled on foot, appear to have watched the place beforehand, were two or three persons, ransacked the place, broke the lock, struck while the house was locked for days, struck at night, came on foot and made no attempt to avoid identification. Enquiries with nearby residents are in progress. The complainant has submitted bills for some of the items."
MH-KOL-02/0070/2025,Kolhapur,MH-KOL-02,MOTOR VEHICLE THEFT,06/11/2025 07:24,06/11/2025 14:28,07/11/2025 08:14,ONE,SCREW DRIVER,NIL,CHANCE,VEHICLE,,FOUR WHEELER,,,,,,GOODS VEHICLE,DUPLICATE KEY,PAY AND PARK,,,,,,,"As per the complaint, unknown persons committed vehicle theft in Kolhapur (MH-KOL-02) sometime between 06/11/2025 07:24 and 06/11/2025 14:28. It is stated that the accused struck during the day, stole a goods vehicle, made no attempt to avoid identification, appear to have picked the target by chance and took a vehicle. The dog squad was summoned to the spot. Enquiries with nearby residents are in progress."
MH-NAS-03/0065/2025,Nashik,MH-NAS-03,MOTOR VEHICLE THEFT,05/11/2025 06:46,06/11/2025 02:43,07/11/2025 08:48,ONE,NIL,NIL,CHANCE,VEHICLE,TWO WHEELER,TWO WHEELER,,,,,,SCOOTER,TOWED AWAY,ROADSIDE,,,,,,,"On receipt of information, it was learnt that a vehicle theft occurred in Nashik between 05/11/2025 06:46 and 06/11/2025 02:43. It is stated that the accused took it from the roadside, stole a scooter, fled on a two-wheeler, appear to have picked the target by chance, lifted or towed it away, acted alone, took a vehicle, made no attempt to avoid identification and came on a two-wheeler. A relative of the complainant was the first to notice. Street lights in the area were reported not working."
MH-NAS-02/0066/2025,Nashik,MH-NAS-02,SHOP BREAKING,06/11/2025 10:39,06/11/2025 22:42,07/11/2025 22:31,ONE,CROWBAR,FACE MASKED,CHANCE,CASH;ELECTRONIC ITEMS,TWO WHEELER,ON FOOT,SHUTTER,DOOR FORCED,GODOWN,,RANSACKED,,,,,,,,,,"As per the complaint, unknown persons committed break-in at commercial premises in Nashik (MH-NAS-02) sometime between 06/11/2025 10:39 and 06/11/2025 22:42. It is stated that the accused ransacked the place, acted alone, took cash, took electronic items, came on a two-wheeler, had their faces covered, forced the door open, appear to have picked the target by chance and got in by lifting the shutter. Street lights in the area were reported not working. It had been raining heavily that evening."
